,date,title,link
62,20080812,"At a Midtown Intersection, Another Sheet of Glass Falls - The New York Times",https://www.nytimes.com/2008/08/13/nyregion/13glass.html?searchResultPosition=265
63,20060712,Accident in Boston’s Big Dig Kills Woman in Car - The New York Times,https://www.nytimes.com/2006/07/12/us/12tunnel.html?searchResultPosition=266
64,20000524,METRO NEWS BRIEFS: NEW YORK; Suit to Be Filed In Laborer's Death - The New York Times,https://www.nytimes.com/2000/05/24/nyregion/metro-news-briefs-new-york-suit-to-be-filed-in-laborer-s-death.html?searchResultPosition=269
65,20060712,Accident in Bostons Big Dig Kills Woman in Car - The New York Times,https://www.nytimes.com/2006/07/12/us/accident-in-bostons-big-dig-kills-woman-in-car.html?searchResultPosition=270
66,20020912,Debris Flies And a Boater Is Drowned In High Wind - The New York Times,https://www.nytimes.com/2002/09/12/nyregion/debris-flies-and-a-boater-is-drowned-in-high-wind.html?searchResultPosition=271
67,20130618,Queens Worker Pulled From Mud After Fall Into Trench - The New York Times,https://www.nytimes.com/2013/06/19/nyregion/queens-worker-pulled-from-mud-after-fall-into-trench.html?searchResultPosition=275
68,20180316,Engineer of Florida Bridge Reported Cracks Days Before Collapse - The New York Times,https://www.nytimes.com/2018/03/16/us/florida-bridge-cracks.html?searchResultPosition=280
69,20150531,Crane Accident in Midtown Manhattan Injures 7 and Damages Buildings - The New York Times,https://www.nytimes.com/2015/06/01/nyregion/crane-collapses-in-midtown-manhattan.html?searchResultPosition=293
70,20060308,Worker in Brooklyn Dies as a Wall Falls - The New York Times,https://www.nytimes.com/2006/03/08/nyregion/worker-in-brooklyn-dies-as-a-wall-falls.html?searchResultPosition=295
71,20100704,Safety Board Urges End to Release of Natural Gas Indoors - The New York Times,https://www.nytimes.com/2010/07/05/nyregion/05middletown.html?searchResultPosition=297
72,20151125,Opinion | Beware of China's Safety Record - The New York Times,https://www.nytimes.com/2015/11/26/opinion/beware-of-chinas-safety-record.html?searchResultPosition=301
73,20021011,"Pedestrian Bridge Collapses, Killing One and Injuring 9 - The New York Times",https://www.nytimes.com/2002/10/11/nyregion/pedestrian-bridge-collapses-killing-one-and-injuring-9.html?searchResultPosition=305
74,20050906,9 die in Austrian cable-car accident - The New York Times,https://www.nytimes.com/2005/09/06/world/europe/9-die-in-austrian-cablecar-accident.html?searchResultPosition=310
75,20060729,Worker Dies as Garage Collapses in Queens - The New York Times,https://www.nytimes.com/2006/07/29/nyregion/worker-dies-as-garage-collapses-in-queens.html?searchResultPosition=316
76,20121106,Drama Behind Securing Crippled Crane in Manhattan - The New York Times,https://www.nytimes.com/2012/11/07/nyregion/drama-behind-securing-crippled-crane-in-manhattan.html?searchResultPosition=325
77,20100215,So Many Ways to Die by Accident in New York City - The New York Times,https://www.nytimes.com/2010/02/16/nyregion/16accidents.html?searchResultPosition=336
78,20000503,METRO NEWS BRIEFS: NEW YORK; Bridge Worker Falls And Is Swept Away - The New York Times,https://www.nytimes.com/2000/05/03/nyregion/metro-news-briefs-new-york-bridge-worker-falls-and-is-swept-away.html?searchResultPosition=343
79,20051005,Metro Briefing | New York: Manhattan: Worker Killed In Fall From Bridge - The New York Times,https://www.nytimes.com/2005/10/05/nyregion/metro-briefing-new-york-manhattan-worker-killed-in-fall-from.html?searchResultPosition=350
80,20080317,Fall of Six-Ton Support Caused Crane to Topple - The New York Times,https://www.nytimes.com/2008/03/17/nyregion/17building.html?searchResultPosition=356
81,20180628,"Chartered Plane Crashes in Mumbai, Killing at Least 5 - The New York Times",https://www.nytimes.com/2018/06/28/world/asia/mumbai-plane-crash.html?searchResultPosition=358
82,20000622,Report Says School Board Neglected Building Safety - The New York Times,https://www.nytimes.com/2000/06/22/nyregion/report-says-school-board-neglected-building-safety.html?searchResultPosition=362
83,20180912,Worker Feared Dead in Brooklyn Wall Collapse - The New York Times,https://www.nytimes.com/2018/09/12/nyregion/brooklyn-wall-collapse.html?searchResultPosition=365
84,20151030,Midtown Manhattan Building Collapse Leaves One Dead - The New York Times,https://www.nytimes.com/2015/10/31/nyregion/midtown-building-collapse-leaves-one-dead.html?searchResultPosition=366
85,20080317,Seventh Body Recovered at Crane Site - The New York Times,https://www.nytimes.com/2008/03/17/nyregion/17cnd-crane.html?searchResultPosition=370
86,20060718,Manhattan: Buildings Evacuated on East Side - The New York Times,https://www.nytimes.com/2006/07/18/nyregion/manhattan-buildings-evacuated-on-east-side.html?searchResultPosition=375
87,20080611,"In Search for a Buildings Commissioner, a Debate Over Qualifications - The New York Times",https://www.nytimes.com/2008/06/11/nyregion/11buildings.html?searchResultPosition=381
88,20101116,Shanghai Fire Stirs Safety Fears for Building Boom - The New York Times,https://www.nytimes.com/2010/11/17/world/asia/17shanghai.html?searchResultPosition=389
89,20080409,City Blames Weak Rock for Fallen Wall - The New York Times,https://www.nytimes.com/2008/04/09/nyregion/09collapse.html?searchResultPosition=391
90,20080316,"Crane Collapses on Manhattan’s East Side, Killing 4 - The New York Times",https://www.nytimes.com/2008/03/16/nyregion/16collapse.html?searchResultPosition=392
91,20130612,2 Scaffold Workers Rescued From Outside 45th Floor - The New York Times,https://www.nytimes.com/2013/06/13/nyregion/2-workers-stranded-500-feet-above-street-in-midtown.html?searchResultPosition=393
92,20080316,Developer Who Can See From a Rescuer’s View - The New York Times,https://www.nytimes.com/2008/03/16/nyregion/16developer.html?searchResultPosition=398
93,20090901,New York City Is Said to Plan Oversight of Concrete Testing - The New York Times,https://www.nytimes.com/2009/09/02/nyregion/02concrete.html?searchResultPosition=400
94,20050521,Brooklyn Building's Age Blamed in Collapse - The New York Times,https://www.nytimes.com/2005/05/21/nyregion/brooklyn-buildings-age-blamed-in-collapse.html?searchResultPosition=409
95,20110706,Third Supervisor Acquitted in Deutsche Bank Fire Trial - The New York Times,https://www.nytimes.com/2011/07/07/nyregion/final-defendant-is-acquitted-in-deutsche-bank-fire-trial.html?searchResultPosition=410
96,20060729,Worker Dies as Garage Collapses in Queens - The New York Times,https://www.nytimes.com/2006/07/29/nyregion/29collapse.html?searchResultPosition=413
97,20091119,New York Seeks Firm to Oversee Exams for Construction Trades - The New York Times,https://www.nytimes.com/2009/11/20/nyregion/20testing.html?searchResultPosition=427
98,20170703,"Bus Crashes in Germany, Killing at Least 18 - The New York Times",https://www.nytimes.com/2017/07/03/world/europe/germany-bus-crash.html?searchResultPosition=429
