709,showed,23
710,adding,23
711,member,23
712,carrying,23
713,free,23
714,return,23
715,full,23
716,phone,23
717,owned,23
718,coming,23
719,standards,23
720,old,23
721,toppled,23
722,concerns,23
723,continue,23
724,units,23
725,reached,23
726,always,23
727,better,23
728,westchester,23
729,chairman,23
730,room,23
731,tunnels,23
732,systems,23
733,cheney,23
734,behind,22
735,lack,22
736,thing,22
737,association,22
738,telephone,22
739,reach,22
740,collapses,22
741,hoist,22
742,rushed,22
743,planned,22
744,sending,22
745,search,22
746,jersey,22
747,arm,22
748,causing,22
749,became,22
750,basement,22
751,adjacent,22
752,sidewalk,22
753,knew,22
754,plywood,22
755,pedestrians,22
756,previous,22
757,24,22
758,daniel,22
759,balconies,22
760,anyone,22
761,operators,22
762,making,22
763,son,22
764,huge,22
765,run,22
766,bricks,22
767,galt,22
768,plants,22
769,torres,22
770,complaints,21
771,getting,21
772,money,21
773,ensure,21
774,wife,21
775,lived,21
776,permit,21
777,us,21
778,suddenly,21
779,forced,21
780,stopped,21
781,earthquake,21
782,country,21
783,crashed,21
784,27,21
785,subway,21
786,move,21
787,face,21
788,remove,21
789,evening,21
790,caught,21
791,5,21
792,dropped,21
793,13,21
794,16,21
795,limandri,21
796,testing,21
797,taking,21
798,live,21
799,hurt,21
800,governor,21
801,boston,21
802,speed,21
803,luxury,20
804,fatalities,20
805,26,20
806,enforcement,20
807,c.,20
808,experts,20
809,bar,20
810,everyone,20
811,walls,20
812,best,20
813,respond,20
814,friends,20
815,3,20
816,crew,20
817,reporters,20
818,fact,20
819,material,20
820,rescuers,20
821,accused,20
822,gathered,20
823,bus,20
824,provided,20
825,installed,20
826,7,20
827,properly,20
828,included,20
829,subcontractor,20
830,tree,20
831,red,20
832,spent,20
833,meeting,20
834,begin,20
835,holding,20
836,patricia,20
837,become,20
838,contract,20
839,‘,20
840,returned,20
841,hope,20
842,view,19
843,danger,19
844,carried,19
845,remain,19
846,conditions,19
847,staff,19
848,strong,19
849,instead,19
850,protection,19
851,lifted,19
852,injury,19
853,square,19
854,materials,19
855,january,19
856,visited,19
857,neighbor,19
858,evacuated,19
859,concerned,19
860,inspected,19
861,jamaica,19
862,bridgeport,19
863,sections,19
864,created,19
865,2004,19
866,question,19
867,leo,19
868,sept.,19
