"id","pubyear","title"
"WOS:000219981000004","2009","PROGNOSTIC VALUE OF IMMUNOHISTOCHEMICAL EXPRESSION OF VEGF, E-CADHERIN AND BIM IN RADICAL PROSTATECTOMY SPECIMENS"
"WOS:000213266200010","2009","BIM Handbook: A Guide to Building Information Modelling for Owners, Managers, Designers, Engineers, and Contractors"
"WOS:000268128900027","2009","Epigenetic down-regulation of BIM expression is associated with reduced optimal responses to imatinib treatment in chronic myeloid leukaemia"
"WOS:000282533200022","2009","Optimizing Construction Planning and Scheduling through Combined Virtual Prototyping Technology and Building Information Models"
"WOS:000263406700004","2009","Enabling More Human-Oriented Exploration of Complex Building Information Models"
"WOS:000261921800005","2009","Syntheses, crystal structures and properties of two cadmium coordination polymers containing bis(2-methylimidazol-1-yl) methane(2-mBIM) and bis(imidazol-1-yl) methane (BIM) ligands"
"WOS:000265279300033","2009","IEX-1-induced cell death requires BIM and is modulated by MCL-1"
"WOS:000281119901129","2009","A Visual Nd Building Information Model to Improve Construction Collaboration"
"WOS:000267162700003","2009","Building Information Modeling"
"WOS:000214299800008","2009","Building information modelling demystified: does it make business sense to adopt BIM?"
"WOS:000210021300045","2009","GEOMETRICAL AND TOPOLOGICAL APPROACHES IN BUILDING INFORMATION MODELLING"
"WOS:000263406700002","2009","Unique Requirements of Building Information Modeling for Cast-in-Place Reinforced Concrete"
"WOS:000265976400002","2009","Optimisation Stories The Impact of Building Information Modelling on Contemporary Design Practice Introduction"
"WOS:000270092400843","2009","ABSENCE OF PRO-APOPTOTIC BIM PROMOTES ACCUMULATION OF PULMONARY T-LYMPHOCYTES AND ENHANCES CLEARANCE OF PNEUMOCYSTIS CARINII IFECTION IN MICE"
"WOS:000334282200007","2009","Building Survey in Combination with Building Information Modelling for the Architectural Planning Process"
"WOS:000264154800004","2009","Paradigm Trajectories of Building Information Modeling Practice in Project Networks"
"WOS:000262567300003","2009","Specification and implementation of directional operators in a 3D spatial query language for building information models"
"WOS:000289492501104","2009","USE OF BUILDING INFORMATION MODELS IN SIMULATIONS"
"WOS:000281119901128","2009","Review of the development of BIM in USA"
